Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1313,"1313.20421","Streptococcus pneumoniae strain GPSC55","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18515","Streptococcus pneumoniae strain GPSC19","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9343","Staphylococcus aureus TTSH3_01","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.9913","Streptococcus pneumoniae strain SA27","tetracycline",,"12",,"12","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.6309","Streptococcus pneumoniae strain R34-3113","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.6059","Streptococcus pneumoniae strain LMG2062","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1313,"1313.8981","Streptococcus pneumoniae strain 2245STDY5609141","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8925","Streptococcus pneumoniae strain 2245STDY5819532","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18688","Streptococcus pneumoniae strain GPSC23","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9841","Staphylococcus aureus C00003292","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.7996","Staphylococcus aureus C00001210","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17313","Streptococcus pneumoniae strain 99","tetracycline","Resistant","8",">","8","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.20232","Streptococcus pneumoniae strain GPSC12","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
760838,"760838.3","Streptococcus pneumoniae GA47461","tetracycline","Susceptible","<=2","<=","2",,,,,,,,,,,"Laboratory Method",,
1280,"1280.9412","Staphylococcus aureus C00000805","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19406","Streptococcus pneumoniae strain GPSC125","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9254","Staphylococcus aureus 098_03","tetracycline","Susceptible",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.6086","Streptococcus pneumoniae strain 242588","tetracycline",,"<0.06","<","0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1352,"1352.3436","Enterococcus faecium strain CVM N59998F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1352,"1352.3509","Enterococcus faecium strain CVM N52732","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9299","Staphylococcus aureus 493_05","tetracycline","Susceptible",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.19269","Streptococcus pneumoniae strain GPSC5","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20370","Streptococcus pneumoniae strain GPSC2","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9741","Streptococcus pneumoniae strain 11930","tetracycline",,"1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.20199","Streptococcus pneumoniae strain GPSC10","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8726","Staphylococcus aureus C00001445","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.5961","Streptococcus pneumoniae strain R34-3064","tetracycline",,">4.00",">","4.00","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1280,"1280.8727","Staphylococcus aureus C00001447","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1352,"1352.3441","Enterococcus faecium strain CVM N59613F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.21108","Streptococcus pneumoniae strain GPSC191","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6544","Streptococcus pneumoniae strain 234323","tetracycline",,"0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.20443","Streptococcus pneumoniae strain GPSC8","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.7422","Staphylococcus aureus C00003173","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1351,"1351.850","Enterococcus faecalis strain CVM N54553","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1352,"1352.3475","Enterococcus faecium strain CVM N52643","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9716","Staphylococcus aureus C00001259","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20388","Streptococcus pneumoniae strain GPSC13","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19872","Streptococcus pneumoniae strain GPSC14","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8412","Staphylococcus aureus C00003299","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.8868","Streptococcus pneumoniae strain 2245STDY5819564","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9851","Staphylococcus aureus C00003346","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21122","Streptococcus pneumoniae strain GPSC116","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18869","Streptococcus pneumoniae strain GPSC13","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17276","Streptococcus pneumoniae strain 64","tetracycline","Susceptible","0.5","==","0.5","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.8592","Staphylococcus aureus C00003319","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19335","Streptococcus pneumoniae strain GPSC14","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.21067","Streptococcus pneumoniae strain GPSC160","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
760846,"760846.3","Streptococcus pneumoniae GA47760","tetracycline","Susceptible","<=2","<=","2",,,,,,,,,,,"Laboratory Method",,
1313,"1313.9227","Streptococcus pneumoniae strain 2245STDY5804518","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5617","Streptococcus pneumoniae strain R34-3046","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.20653","Streptococcus pneumoniae strain GPSC31","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9995","Staphylococcus aureus C00013219","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6298","Streptococcus pneumoniae strain PT1430","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1313,"1313.18493","Streptococcus pneumoniae strain GPSC26","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9335","Staphylococcus aureus TTSH2_01","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.19215","Streptococcus pneumoniae strain GPSC20","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9495","Staphylococcus aureus C00001253","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18758","Streptococcus pneumoniae strain GPSC178","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9097","Streptococcus pneumoniae strain 2245STDY5699057","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9578","Streptococcus pneumoniae strain SA6","tetracycline",,"8",,"8","mg/L","MIC",,,,,,,,,"Laboratory Method",,
760775,"760775.3","Streptococcus pneumoniae GA13856","tetracycline","Susceptible","<=1","<=","1",,,,,,,,,,,"Laboratory Method",,
1313,"1313.17379","Streptococcus pneumoniae strain SC12-3273-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.9904","Streptococcus pneumoniae strain SA10","tetracycline",,"12",,"12","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.9705","Streptococcus pneumoniae strain 1842","tetracycline",,">8",">","8","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.8760","Staphylococcus aureus C00007062","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21091","Streptococcus pneumoniae strain GPSC13","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8870","Streptococcus pneumoniae strain 2245STDY5819582","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8721","Staphylococcus aureus C00001448","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21109","Streptococcus pneumoniae strain GPSC3","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9384","Staphylococcus aureus WAU_28","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.9078","Streptococcus pneumoniae strain 2245STDY5609041","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19002","Streptococcus pneumoniae strain GPSC31","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1349,"1349.32","Streptococcus uberis PE100","tetracycline",,"4",,"4","mg/L","MIC",,"Sensititre microdilution system and mastitis plate","Sensititre",,,,,,"Laboratory Method",,
1351,"1351.797","Enterococcus faecalis strain CVM N59910F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9694","Staphylococcus aureus C00001187","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6684","Streptococcus pneumoniae strain SN27474","tetracycline",,"16",,"16","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.8705","Streptococcus pneumoniae strain 2245STDY5609065","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1283,"1283.451","Staphylococcus haemolyticus 7068_7_46","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
1280,"1280.9848","Staphylococcus aureus C00003328","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
760826,"760826.3","Streptococcus pneumoniae GA44500","tetracycline","Susceptible","<=2","<=","2",,,,,,,,,,,"Laboratory Method",,
1280,"1280.9270","Staphylococcus aureus 156_04","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
