JGI_Portal_ID,Species,Order,Class,Clade,Phylum,Pathogen,Lifestyle,Lifestyle_2,Unknown_Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,Mycorrhizal,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Wood_Decay,FUNGuild,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main_Stem,Leaves,Roots,Fruit,Seeds,MycoCosm Genome Reference Paper
Colorb1,Colletotrichum orbiculare 104-T,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph-Symbiotroph – Endophyte-Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,"1. Gan, P., Ikeda, K., Irieda, H., Narusaka, M., O’Connell, R.J., Narusaka, Y., Takano, Y., Kubo, Y., and Shirasu, K. (2013). Comparative genomic and transcriptomic analyses reveal the hemibiotrophic stage shift of Colletotrichum fungi. New Phytol. 197, 1236–1249. Available at: https://www-jstor-org.ezproxy.library.ubc.ca/stable/pdf/newphytologist.197.4.1236.pdf?refreqid=excelsior%3Ae5a4fb58fa29af0d3732b4f6e6906810 [Accessed July 1, 2019]."
Color1,Colletotrichum orchidophilum IMI 309357,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,"1. Baroncelli, R., Sukno, S.A., Sarrocco, S., Cafà, G., Le Floch, G., and Thon, M.R. (2018). Whole-Genome Sequence of the Orchid Anthracnose Pathogen Colletotrichum orchidophilum. MPMI 31, 979–981. Available at: https://doi.org/10.1094/MPMI-03-18-0055-A [Accessed July 1, 2019]."
Colto1,Colletotrichum tofieldiae 0861,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,E,E,Known,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Hacquard S, Kracher B, Hiruma K, Munch PC, Garrido-Oter R, Thon MR, Weimann A, Damm U, Dallery JF, Hainaut M, Henrissat B, Lespinet O, Sacristan S, Ver Loren van Themaat E, Kemen E, McHardy AC, Schulze-Lefert P, O'Connell RJ Survival trade-offs in plant roots during colonization by closely related beneficial and pathogenic fungi. Nat Commun. 2016 May 6;7:11362. doi: 10.1038/ncomms11362."
Conlig1,Coniochaeta ligniaria NRRL 30616 v1.0,Coniochaetales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, E, O",S  E  O,Known,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,"Jimenez DJ, Hector RE, Riley R, Lipzen A, Kuo RC, Amirebrahimi M, Barry KW, Grigoriev IV, van Elsas JD, Nichols NN Draft Genome Sequence of Coniochaeta ligniaria NRRL 30616, a Lignocellulolytic Fungus for Bioabatement of Inhibitors in Plant Biomass Hydrolysates. Genome Announc. 2017 Jan 26;5(4). pii: 5/4/e01476-16. doi: 10.1128/genomeA.01476-16."
Cormi1,Cordyceps militaris CM01,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,P,P,Known,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,"Zheng P, Xia Y, Xiao G, Xiong C, Hu X, Zhang S, Zheng H, Huang Y, Zhou Y, Wang S, Zhao GP, Liu X, St Leger RJ, Wang C Genome sequence of the insect pathogenic fungus Cordyceps militaris, a valued traditional Chinese medicine. Genome Biol. 2011 Nov 23;12(11):R116. doi: 10.1186/gb-2011-12-11-r116."
Dacma1,Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, E, O, N",S  E  O  N,Known,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,NO,NO,YES,YES,NO,YES,,,"Malapi-Wight M, Salgado-Salazar C, Demers J, Veltri D, Crouch J Draft Genome Sequence of Dactylonectria macrodidyma, a Plant Pathogenic Fungus in the Nectriaceae. Genome Announc. 2016 Apr 16; 3(2): e00278-15. doi:10.1128/genomeA.00278-15."
DalEC12_1,Daldinia eschscholtzii EC12 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,E,E,Known,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Wu W, Davis RW, Tran-Gyamfi MB, Kuo A, LaButti K, Mihaltcheva S, Hundley H, Chovatia M, Lindquist E, Barry K, Grigoriev IV, Henrissat B, Gladden JM Characterization of four endophytic fungi as potential consolidated bioprocessing hosts for conversion of lignocellulose into advanced biofuels. Appl Microbiol Biotechnol. 2017 Mar;101(6):2603-2618. doi: 10.1007/s00253-017-8091-1. Epub 2017 Jan 12."
Diaam1,Diaporthe ampelina UCDDA912,Diaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, HB",E  HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,YES,NO,,,"Morales-Cruz A, Amrine KC, Blanco-Ulate B, Lawrence DP, Travadon R, Rolshausen PE, Baumgartner K, Cantu D Distinctive expansion of gene families associated with plant cell wall degradation, secondary metabolism, and nutrient uptake in the genomes of grapevine trunk pathogens. BMC Genomics. 2015 Jun 19;16:469. doi: 10.1186/s12864-015-1624-z."
Eutla1,Eutypa lata UCREL1,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,N,N,Known,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,NO,NO,,,"Blanco-Ulate B, Rolshausen PE, Cantu D Draft Genome Sequence of the Grapevine Dieback Fungus Eutypa lata UCR-EL1. Genome Announc. 2013 May 30;1(3). pii: 1/3/e00228-13. doi: 10.1128/genomeA.00228-13."
Fusfu1,Fusarium fujikuroi IMI 58289,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,N,N,Known,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,YES,YES,,YES,"Wiemann P, Sieber CM, von Bargen KW, Studt L, Niehaus EM, Espino JJ, Huss K, Michielse CB, Albermann S, Wagner D, Bergner SV, Connolly LR, Fischer A, Reuter G, Kleigrewe K, Bald T, Wingfield BD, Ophir R, Freeman S, Hippler M, Smith KM, Brown DW, Proctor RH, Munsterkotter M, Freitag M, Humpf HU, Guldener U, Tudzynski B Deciphering the cryptic genome: genome-wide analyses of the rice pathogen Fusarium fujikuroi reveal complex regulation of secondary metabolism and novel metabolites. PLoS Pathog. 2013;9(6):e1003475. doi: 10.1371/journal.ppat.1003475. Epub 2013 Jun 27."
Fusgr1,Fusarium graminearum v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, HB",S  HB,Known,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,YES,NO,,,"Cuomo CA, Guldener U, Xu JR, Trail F, Turgeon BG, Di Pietro A, Walton JD, Ma LJ, Baker SE, Rep M, Adam G, Antoniw J, Baldwin T, Calvo S, Chang YL, Decaprio D, Gale LR, Gnerre S, Goswami RS, Hammond-Kosack K, Harris LJ, Hilburn K, Kennell JC, Kroken S, Magnuson JK, Mannhaupt G, Mauceli E, Mewes HW, Mitterbauer R, Muehlbauer G, Munsterkotter M, Nelson D, O'donnell K, Ouellet T, Qi W, Quesneville H, Roncero MI, Seong KY, Tetko IV, Urban M, Waalwijk C, Ward TJ, Yao J, Birren BW, Kistler HC The Fusarium graminearum genome reveals a link between localized polymorphism and pathogen specialization. Science. 2007 Sep 7;317(5843):1400-2. doi: 10.1126/science.1143708."
Fusox2,Fusarium oxysporum f. sp. lycopersici 4287 v2,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, HB",S  HB,Known,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,NO,NO,YES,,,"Ma LJ, van der Does HC, Borkovich KA, Coleman JJ, Daboussi MJ, Di Pietro A, Dufresne M, Freitag M, Grabherr M, Henrissat B, Houterman PM, Kang S, Shim WB, Woloshuk C, Xie X, Xu JR, Antoniw J, Baker SE, Bluhm BH, Breakspear A, Brown DW, Butchko RA, Chapman S, Coulson R, Coutinho PM, Danchin EG, Diener A, Gale LR, Gardiner DM, Goff S, Hammond-Kosack KE, Hilburn K, Hua-Van A, Jonkers W, Kazan K, Kodira CD, Koehrsen M, Kumar L, Lee YH, Li L, Manners JM, Miranda-Saavedra D, Mukherjee M, Park G, Park J, Park SY, Proctor RH, Regev A, Ruiz-Roldan MC, Sain D, Sakthikumar S, Sykes S, Schwartz DC, Turgeon BG, Wapinski I, Yoder O, Young S, Zeng Q, Zhou S, Galagan J, Cuomo CA, Kistler HC, Rep M Comparative genomics reveals mobile pathogenicity chromosomes in Fusarium. Nature. 2010 Mar 18;464(7287):367-73. doi: 10.1038/nature08850."
Fusps1,Fusarium pseudograminearum CS3096,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, N",S  N,Known,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,YES,YES,,,"Gardiner DM, McDonald MC, Covarelli L, Solomon PS, Rusu AG, Marshall M, Kazan K, Chakraborty S, McDonald BA, Manners JM Comparative pathogenomics reveals horizontally acquired novel virulence genes in fungi infecting cereal hosts. PLoS Pathog. 2012 Sep;8(9):e1002952. doi: 10.1371/journal.ppat.1002952. Epub 2012 Sep 27."
Fusve2,Fusarium verticillioides 7600 v2,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, N, O",E  N  O,Known,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph-Symbiotroph – Animal Pathogen-Endophyte-Plant Pathogen,YES,NO,YES,NO,NO,YES,YES,NO,YES,,,"Ma LJ, van der Does HC, Borkovich KA, Coleman JJ, Daboussi MJ, Di Pietro A, Dufresne M, Freitag M, Grabherr M, Henrissat B, Houterman PM, Kang S, Shim WB, Woloshuk C, Xie X, Xu JR, Antoniw J, Baker SE, Bluhm BH, Breakspear A, Brown DW, Butchko RA, Chapman S, Coulson R, Coutinho PM, Danchin EG, Diener A, Gale LR, Gardiner DM, Goff S, Hammond-Kosack KE, Hilburn K, Hua-Van A, Jonkers W, Kazan K, Kodira CD, Koehrsen M, Kumar L, Lee YH, Li L, Manners JM, Miranda-Saavedra D, Mukherjee M, Park G, Park J, Park SY, Proctor RH, Regev A, Ruiz-Roldan MC, Sain D, Sakthikumar S, Sykes S, Schwartz DC, Turgeon BG, Wapinski I, Yoder O, Young S, Zeng Q, Zhou S, Galagan J, Cuomo CA, Kistler HC, Rep M Comparative genomics reveals mobile pathogenicity chromosomes in Fusarium. Nature. 2010 Mar 18;464(7287):367-73. doi: 10.1038/nature08850.      AND     Cuomo CA, Guldener U, Xu JR, Trail F, Turgeon BG, Di Pietro A, Walton JD, Ma LJ, Baker SE, Rep M, Adam G, Antoniw J, Baldwin T, Calvo S, Chang YL, Decaprio D, Gale LR, Gnerre S, Goswami RS, Hammond-Kosack K, Harris LJ, Hilburn K, Kennell JC, Kroken S, Magnuson JK, Mannhaupt G, Mauceli E, Mewes HW, Mitterbauer R, Muehlbauer G, Munsterkotter M, Nelson D, O'donnell K, Ouellet T, Qi W, Quesneville H, Roncero MI, Seong KY, Tetko IV, Urban M, Waalwijk C, Ward TJ, Yao J, Birren BW, Kistler HC The Fusarium graminearum genome reveals a link between localized polymorphism and pathogen specialization. Science. 2007 Sep 7;317(5843):1400-2. doi: 10.1126/science.1143708."
Gaegr1,Gaeumannomyces graminis var. tritici R3-111a-1,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, N",S  N,Known,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,YES,YES,,,"Okagaki LH, Nunes CC, Sailsbery J, Clay B, Brown D, John T, Oh Y, Young N, Fitzgerald M, Haas BJ, Zeng Q, Young S, Adiconis X, Fan L, Levin JZ, Mitchell TK, Okubara PA, Farman ML, Kohn LM, Birren B, Ma LJ, Dean RA Genome Sequences of Three Phytopathogenic Species of the Magnaporthaceae Family of Fungi. G3 (Bethesda). 2015 Sep 28;5(12):2539-45. doi: 10.1534/g3.115.020057."
Grocl1,Grosmannia clavigera kw1407,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,N,N,Known,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,YES,NO,YES,NO,NO,,,"DiGuistini S, Wang Y, Liao NY, Taylor G, Tanguay P, Feau N, Henrissat B, Chan SK, Hesse-Orce U, Alamouti SM, Tsui CK, Docking RT, Levasseur A, Haridas S, Robertson G, Birol I, Holt RA, Marra MA, Hamelin RC, Hirst M, Jones SJ, Bohlmann J, Breuil C Genome and transcriptome analyses of the mountain pine beetle-fungal symbiont Grosmannia clavigera, a lodgepole pine pathogen. Proc Natl Acad Sci USA. 2011 Feb 8;108(6):2504-9. doi: 10.1073/pnas.1011289108. Epub 2011 Jan 24."
HypCI4A_1,Hypoxylon sp. CI-4A v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"E, S",E  S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Wu W, Davis RW, Tran-Gyamfi MB, Kuo A, LaButti K, Mihaltcheva S, Hundley H, Chovatia M, Lindquist E, Barry K, Grigoriev IV, Henrissat B, Gladden JM Characterization of four endophytic fungi as potential consolidated bioprocessing hosts for conversion of lignocellulose into advanced biofuels. Appl Microbiol Biotechnol. 2017 Mar;101(6):2603-2618. doi: 10.1007/s00253-017-8091-1. Epub 2017 Jan 12."
HypCO275_1,Hypoxylon sp. CO27-5 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"E, S",E  S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Wu W, Davis RW, Tran-Gyamfi MB, Kuo A, LaButti K, Mihaltcheva S, Hundley H, Chovatia M, Lindquist E, Barry K, Grigoriev IV, Henrissat B, Gladden JM Characterization of four endophytic fungi as potential consolidated bioprocessing hosts for conversion of lignocellulose into advanced biofuels. Appl Microbiol Biotechnol. 2017 Mar;101(6):2603-2618. doi: 10.1007/s00253-017-8091-1. Epub 2017 Jan 12."
HypEC38_3,Hypoxylon sp. EC38 v3.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"E, S",E  S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Wu W, Davis RW, Tran-Gyamfi MB, Kuo A, LaButti K, Mihaltcheva S, Hundley H, Chovatia M, Lindquist E, Barry K, Grigoriev IV, Henrissat B, Gladden JM Characterization of four endophytic fungi as potential consolidated bioprocessing hosts for conversion of lignocellulose into advanced biofuels. Appl Microbiol Biotechnol. 2017 Mar;101(6):2603-2618. doi: 10.1007/s00253-017-8091-1. Epub 2017 Jan 12."
Maggr1,Magnaporthe grisea v1.0,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,YES,YES,,,"Dean RA, Talbot NJ, Ebbole DJ, Farman ML, Mitchell TK, Orbach MJ, Thon M, Kulkarni R, Xu JR, Pan H, Read AND, Lee YH, Carbone I, Brown D, Oh YY, Donofrio N, Jeong JS, Soanes DM, Djonovic S, Kolomiets E, Rehmeyer C, Li W, Harding M, Kim S, Lebrun MH, Bohnert H, Coughlan S, Butler J, Calvo S, Ma LJ, Nicol R, Purcell S, Nusbaum C, Galagan JE, Birren BW The genome sequence of the rice blast fungus Magnaporthe grisea. Nature. 2005 Apr 21;434(7036):980-6. doi: 10.1038/nature03449."
